state,district,year,month,pincode,age_0_5,age_5_17,age_18_greater,total_activity,roll_3m,season
Gujarat,Patan,2025,6,384151,207,80,11,298,599.6666666666666,Monsoon
Gujarat,Patan,2025,7,3460399,1741,1178,232,3151,1250.6666666666667,Monsoon
Gujarat,Patan,2025,9,135316261,1184,396,71,1651,1700.0,Monsoon
Gujarat,Patan,2025,10,59589591,317,77,39,433,1745.0,Festival
Gujarat,Patan,2025,11,102253544,911,170,65,1146,1076.6666666666667,Festival
Gujarat,Patan,2025,12,64201815,497,75,25,597,725.3333333333334,Festival
Gujarat,Porbandar,2025,4,721154,267,38,44,349,349.0,Non-peak
Gujarat,Porbandar,2025,6,360575,209,57,11,277,313.0,Monsoon
Gujarat,Porbandar,2025,7,1081724,450,89,56,595,407.0,Monsoon
Gujarat,Porbandar,2025,9,71476816,404,73,20,497,456.3333333333333,Monsoon
Gujarat,Porbandar,2025,10,32853552,149,22,21,192,428.0,Festival
Gujarat,Porbandar,2025,11,53784954,290,41,20,351,346.6666666666667,Festival
Gujarat,Porbandar,2025,12,31764218,237,12,9,258,267.0,Festival
Gujarat,Rajkot,2025,4,2880567,1398,338,231,1967,1967.0,Non-peak
Gujarat,Rajkot,2025,5,2880078,1375,312,221,1908,1937.5,Non-peak
Gujarat,Rajkot,2025,6,363520,114,194,16,324,1399.6666666666667,Monsoon
Gujarat,Rajkot,2025,7,3607725,2567,1437,200,4204,2145.3333333333335,Monsoon
Gujarat,Rajkot,2025,9,259559425,2225,651,50,2926,2484.6666666666665,Monsoon
Gujarat,Rajkot,2025,10,129179751,979,231,82,1292,2807.3333333333335,Festival
Gujarat,Rajkot,2025,11,210445931,2363,385,93,2841,2353.0,Festival
Gujarat,Rajkot,2025,12,131774422,1398,184,26,1608,1913.6666666666667,Festival
Gujarat,Sabar Kantha,2025,7,3066018,951,1169,157,2277,2277.0,Monsoon
Gujarat,Sabar Kantha,2025,9,17248697,45,14,0,59,1168.0,Monsoon
Gujarat,Sabar Kantha,2025,10,7666298,16,4,0,20,785.3333333333334,Festival
Gujarat,Sabar Kantha,2025,11,15715642,43,6,0,49,42.666666666666664,Festival
Gujarat,Sabar Kantha,2025,12,9966120,28,4,0,32,33.666666666666664,Festival
Gujarat,Sabarkantha,2025,4,1916153,389,197,110,696,696.0,Non-peak
Gujarat,Sabarkantha,2025,5,383001,90,41,11,142,419.0,Non-peak
Gujarat,Sabarkantha,2025,9,235336396,1205,560,82,1847,895.0,Monsoon
Gujarat,Sabarkantha,2025,10,98116367,400,102,36,538,842.3333333333334,Festival
Gujarat,Sabarkantha,2025,11,185891587,793,159,60,1012,1132.3333333333333,Festival
Gujarat,Sabarkantha,2025,12,124568760,726,114,40,880,810.0,Festival
Gujarat,Surat,2025,4,4737112,2932,976,280,4188,4188.0,Non-peak
Gujarat,Surat,2025,5,1578400,1396,542,48,1986,3087.0,Non-peak
Gujarat,Surat,2025,7,1974236,2694,1581,81,4356,3510.0,Monsoon
Gujarat,Surat,2025,9,430017847,3848,1392,39,5279,3873.6666666666665,Monsoon
Gujarat,Surat,2025,10,198062239,1371,441,68,1880,3838.3333333333335,Festival
Gujarat,Surat,2025,11,324697849,4025,1000,80,5105,4088.0,Festival
Gujarat,Surat,2025,12,210256101,2146,467,62,2675,3220.0,Festival
Gujarat,Surendra Nagar,2025,4,1453697,436,159,91,686,686.0,Non-peak
Gujarat,Surendra Nagar,2025,7,765525,250,172,21,443,564.5,Monsoon
Gujarat,Surendra Nagar,2025,9,195039359,1681,725,55,2461,1196.6666666666667,Monsoon
Gujarat,Surendra Nagar,2025,10,95862821,564,172,63,799,1234.3333333333333,Festival
Gujarat,Surendra Nagar,2025,11,160682938,1079,289,62,1430,1563.3333333333333,Festival
Gujarat,Surendra Nagar,2025,12,96809312,843,148,45,1036,1088.3333333333333,Festival
Gujarat,Surendranagar,2025,7,1089870,658,574,78,1310,1310.0,Monsoon
Gujarat,Surendranagar,2025,9,14223599,42,6,0,48,679.0,Monsoon
Gujarat,Surendranagar,2025,10,5468618,14,2,0,16,458.0,Festival
Gujarat,Surendranagar,2025,11,12713038,31,8,0,39,34.333333333333336,Festival
Gujarat,Surendranagar,2025,12,8394121,26,3,0,29,28.0,Festival
Gujarat,Tapi,2025,4,394370,68,12,13,93,93.0,Non-peak
Gujarat,Tapi,2025,9,118344235,918,116,7,1041,567.0,Monsoon
Gujarat,Tapi,2025,10,51282506,217,24,8,249,461.0,Festival
Gujarat,Tapi,2025,11,86390532,421,38,97,556,615.3333333333334,Festival
Gujarat,Tapi,2025,12,50500607,232,15,26,273,359.3333333333333,Festival
Gujarat,The Dangs,2025,4,394716,85,13,22,120,120.0,Non-peak
Gujarat,The Dangs,2025,5,789426,174,49,38,261,190.5,Non-peak
Gujarat,The Dangs,2025,9,29209051,361,73,3,437,272.6666666666667,Monsoon
Gujarat,The Dangs,2025,10,17367572,135,21,10,166,288.0,Festival
Gujarat,The Dangs,2025,11,24077742,207,21,0,228,277.0,Festival
Gujarat,The Dangs,2025,12,16183435,106,9,1,116,170.0,Festival
Gujarat,Vadodara,2025,3,390019,36,43,10,89,89.0,Non-peak
Gujarat,Vadodara,2025,4,3513294,788,216,180,1184,636.5,Non-peak
Gujarat,Vadodara,2025,5,390019,158,78,10,246,506.3333333333333,Non-peak
Gujarat,Vadodara,2025,6,1173029,334,139,37,510,646.6666666666666,Monsoon
Gujarat,Vadodara,2025,7,1173229,507,217,60,784,513.3333333333334,Monsoon
Gujarat,Vadodara,2025,9,432647257,2210,744,82,3036,1443.3333333333333,Monsoon
Gujarat,Vadodara,2025,10,209112905,1159,241,19,1419,1746.3333333333333,Festival
Gujarat,Vadodara,2025,11,372873180,2560,512,111,3183,2546.0,Festival
Gujarat,Vadodara,2025,12,223573184,1554,243,36,1833,2145.0,Festival
Gujarat,Valsad,2025,4,1188257,618,186,100,904,904.0,Non-peak
Gujarat,Valsad,2025,5,396065,277,101,20,398,651.0,Non-peak
Gujarat,Valsad,2025,7,396065,581,261,30,872,724.6666666666666,Monsoon
Gujarat,Valsad,2025,9,185785407,1455,373,13,1841,1037.0,Monsoon
Gujarat,Valsad,2025,10,78828061,499,100,14,613,1108.6666666666667,Festival
Gujarat,Valsad,2025,11,147357891,1324,279,34,1637,1363.6666666666667,Festival
Gujarat,Valsad,2025,12,93487777,1064,106,13,1183,1144.3333333333333,Festival
Haryana,Ambala,2025,6,134003,245,23,13,281,281.0,Monsoon
Haryana,Ambala,2025,9,31649861,699,40,1,740,510.5,Monsoon
Haryana,Ambala,2025,10,21085229,614,22,8,644,555.0,Festival
Haryana,Ambala,2025,11,34435331,974,30,7,1011,798.3333333333334,Festival
Haryana,Ambala,2025,12,18957263,531,7,4,542,732.3333333333334,Festival
Haryana,Bhiwani,2025,9,46643817,937,55,2,994,994.0,Monsoon
Haryana,Bhiwani,2025,10,29613813,715,34,7,756,875.0,Festival
Haryana,Bhiwani,2025,11,40418392,963,34,7,1004,918.0,Festival
Haryana,Bhiwani,2025,12,26182196,706,29,0,735,831.6666666666666,Festival
Haryana,Charkhi Dadri,2025,9,17935945,253,2,0,255,255.0,Monsoon
Haryana,Charkhi Dadri,2025,10,9413735,146,6,0,152,203.5,Festival
Haryana,Charkhi Dadri,2025,11,15773673,300,6,0,306,237.66666666666666,Festival
Haryana,Charkhi Dadri,2025,12,8776752,140,5,0,145,201.0,Festival
Haryana,Faridabad,2025,3,121004,80,60,10,150,150.0,Non-peak
Haryana,Faridabad,2025,4,242006,1291,290,25,1606,878.0,Non-peak
Haryana,Faridabad,2025,5,242005,1358,311,32,1701,1152.3333333333333,Non-peak
Haryana,Faridabad,2025,6,484010,1698,483,83,2264,1857.0,Monsoon
Haryana,Faridabad,2025,7,363008,2678,733,54,3465,2476.6666666666665,Monsoon
Haryana,Faridabad,2025,9,35094818,1712,486,34,2232,2653.6666666666665,Monsoon
Haryana,Faridabad,2025,10,19846684,1018,216,7,1241,2312.6666666666665,Festival
Haryana,Faridabad,2025,11,28076618,1839,471,70,2380,1951.0,Festival
Haryana,Faridabad,2025,12,14159012,933,175,8,1116,1579.0,Festival
Haryana,Fatehabad,2025,9,22139698,572,35,5,612,612.0,Monsoon
Haryana,Fatehabad,2025,10,16136018,648,20,2,670,641.0,Festival
Haryana,Fatehabad,2025,11,20388748,768,24,2,794,692.0,Festival
Haryana,Fatehabad,2025,12,13009087,522,13,1,536,666.6666666666666,Festival
Haryana,Gurgaon,2025,4,244003,494,192,36,722,722.0,Non-peak
Haryana,Gurgaon,2025,5,122001,512,143,13,668,695.0,Non-peak
Haryana,Gurgaon,2025,9,55461747,1395,311,53,1759,1049.6666666666667,Monsoon
Haryana,Gurgaon,2025,10,32007525,866,169,8,1043,1156.6666666666667,Festival
Haryana,Gurgaon,2025,11,44471471,1387,297,43,1727,1509.6666666666667,Festival
Haryana,Gurgaon,2025,12,23458227,763,135,44,942,1237.3333333333333,Festival
Haryana,Gurugram,2025,3,122001,18,19,13,50,50.0,Non-peak
Haryana,Gurugram,2025,6,244003,534,207,81,822,436.0,Monsoon
Haryana,Gurugram,2025,7,488110,1252,399,113,1764,878.6666666666666,Monsoon
Haryana,Hisar,2025,6,125001,350,46,10,406,406.0,Monsoon
Haryana,Hisar,2025,9,37138839,1327,84,2,1413,909.5,Monsoon
Haryana,Hisar,2025,10,22884114,1096,56,1,1153,990.6666666666666,Festival
Haryana,Hisar,2025,11,33639505,1324,88,5,1417,1327.6666666666667,Festival
Haryana,Hisar,2025,12,19884752,830,15,0,845,1138.3333333333333,Festival
Haryana,Jhajjar,2025,9,34164618,804,36,2,842,842.0,Monsoon
Haryana,Jhajjar,2025,10,21615646,587,21,0,608,725.0,Festival
Haryana,Jhajjar,2025,11,27701554,665,27,5,697,715.6666666666666,Festival
Haryana,Jhajjar,2025,12,16895065,459,15,3,477,594.0,Festival
Haryana,Jhajjar *,2025,9,124102,0,1,0,1,1.0,Monsoon
Haryana,Jind,2025,9,29258711,1245,29,0,1274,1274.0,Monsoon
Haryana,Jind,2025,10,17277731,847,21,0,868,1071.0,Festival
Haryana,Jind,2025,11,24592430,978,32,0,1010,1050.6666666666667,Festival
Haryana,Jind,2025,12,13872769,659,10,0,669,849.0,Festival
Haryana,Kaithal,2025,6,136027,406,19,10,435,435.0,Monsoon
Haryana,Kaithal,2025,9,27480178,790,20,0,810,622.5,Monsoon
Haryana,Kaithal,2025,10,16869245,441,19,1,461,568.6666666666666,Festival
Haryana,Kaithal,2025,11,23807361,760,17,1,778,683.0,Festival
Haryana,Kaithal,2025,12,13604142,497,10,0,507,582.0,Festival
Haryana,Karnal,2025,9,38693731,1285,66,1,1352,1352.0,Monsoon
Haryana,Karnal,2025,10,22318496,781,35,0,816,1084.0,Festival
Haryana,Karnal,2025,11,29976809,943,45,4,992,1053.3333333333333,Festival
Haryana,Karnal,2025,12,18751868,852,33,3,888,898.6666666666666,Festival
Haryana,Kurukshetra,2025,6,136119,72,10,11,93,93.0,Monsoon
Haryana,Kurukshetra,2025,9,28313307,639,23,0,662,377.5,Monsoon
Haryana,Kurukshetra,2025,10,17559438,499,15,0,514,423.0,Festival
Haryana,Kurukshetra,2025,11,25590198,704,22,0,726,634.0,Festival
Haryana,Kurukshetra,2025,12,13611933,401,8,0,409,549.6666666666666,Festival
Haryana,Mahendragarh,2025,9,20298685,783,56,1,840,840.0,Monsoon
Haryana,Mahendragarh,2025,10,12671347,517,30,0,547,693.5,Festival
Haryana,Mahendragarh,2025,11,18330365,710,38,22,770,719.0,Festival
Haryana,Mahendragarh,2025,12,11195111,565,31,1,597,638.0,Festival
Haryana,Mewat,2025,5,122508,1169,147,11,1327,1327.0,Non-peak
Haryana,Mewat,2025,9,17961179,1281,117,3,1401,1364.0,Monsoon
Haryana,Mewat,2025,10,11484356,1347,90,0,1437,1388.3333333333333,Festival
Haryana,Mewat,2025,11,14294386,1739,116,3,1858,1565.3333333333333,Festival
Haryana,Mewat,2025,12,8552613,1453,80,2,1535,1610.0,Festival
Haryana,Nuh,2025,6,244616,1251,213,42,1506,1506.0,Monsoon
Haryana,Palwal,2025,9,17316543,1117,125,2,1244,1244.0,Monsoon
Haryana,Palwal,2025,10,10171972,864,61,1,926,1085.0,Festival
Haryana,Palwal,2025,11,14046615,1490,86,1,1577,1249.0,Festival
Haryana,Palwal,2025,12,7870792,896,60,0,956,1153.0,Festival
Haryana,Panchkula,2025,9,23454368,308,31,0,339,339.0,Monsoon
Haryana,Panchkula,2025,10,15678635,269,17,2,288,313.5,Festival
Haryana,Panchkula,2025,11,24796231,434,31,2,467,364.6666666666667,Festival
Haryana,Panchkula,2025,12,14073329,276,13,1,290,348.3333333333333,Festival
Haryana,Panipat,2025,6,132103,776,87,14,877,877.0,Monsoon
Haryana,Panipat,2025,7,132103,1344,169,10,1523,1200.0,Monsoon
Haryana,Panipat,2025,9,28800320,1076,108,6,1190,1196.6666666666667,Monsoon
Haryana,Panipat,2025,10,14796787,677,44,6,727,1146.6666666666667,Festival
Haryana,Panipat,2025,11,22194915,990,98,10,1098,1005.0,Festival
Haryana,Panipat,2025,12,12286401,635,37,1,673,832.6666666666666,Festival
Haryana,Rewari,2025,9,28952607,630,62,2,694,694.0,Monsoon
Haryana,Rewari,2025,10,16878247,501,28,2,531,612.5,Festival
Haryana,Rewari,2025,11,25013911,753,45,2,800,675.0,Festival
Haryana,Rewari,2025,12,13062619,445,15,0,460,597.0,Festival
Haryana,Rohtak,2025,6,124001,420,56,52,528,528.0,Monsoon
Haryana,Rohtak,2025,9,31188997,829,47,1,877,702.5,Monsoon
Haryana,Rohtak,2025,10,19508281,580,28,1,609,671.3333333333334,Festival
Haryana,Rohtak,2025,11,26094088,810,39,7,856,780.6666666666666,Festival
Haryana,Rohtak,2025,12,15037109,522,21,0,543,669.3333333333334,Festival
Haryana,Sirsa,2025,9,30272175,811,66,0,877,877.0,Monsoon
Haryana,Sirsa,2025,10,20765277,684,45,0,729,803.0,Festival
Haryana,Sirsa,2025,11,25644033,974,53,2,1029,878.3333333333334,Festival
Haryana,Sirsa,2025,12,15636158,666,34,0,700,819.3333333333334,Festival
Haryana,Sonipat,2025,6,131001,360,46,23,429,429.0,Monsoon
Haryana,Sonipat,2025,9,49715766,1190,74,6,1270,849.5,Monsoon
Haryana,Sonipat,2025,10,30562557,795,43,4,842,847.0,Festival
Haryana,Sonipat,2025,11,40003404,1241,74,3,1318,1143.3333333333333,Festival
Haryana,Sonipat,2025,12,24134329,728,31,1,760,973.3333333333334,Festival
Haryana,Yamuna Nagar,2025,9,34588226,959,46,2,1007,1007.0,Monsoon
Haryana,Yamuna Nagar,2025,10,18042870,613,15,1,629,818.0,Festival
Haryana,Yamuna Nagar,2025,11,27448404,1032,34,5,1071,902.3333333333334,Festival
Haryana,Yamuna Nagar,2025,12,17623353,674,15,0,689,796.3333333333334,Festival
Haryana,Yamunanagar,2025,9,1755349,16,0,0,16,16.0,Monsoon
Haryana,Yamunanagar,2025,10,1080140,14,2,0,16,16.0,Festival
Haryana,Yamunanagar,2025,11,1485112,16,0,0,16,16.0,Festival
Haryana,Yamunanagar,2025,12,945012,10,1,0,11,14.333333333333334,Festival
Himachal Pradesh,Bilaspur,2025,9,32546076,254,3,0,257,1148.0,Monsoon
Himachal Pradesh,Bilaspur,2025,10,23495521,222,5,0,227,575.0,Festival
Himachal Pradesh,Bilaspur,2025,11,32893885,305,4,0,309,264.3333333333333,Festival
Himachal Pradesh,Bilaspur,2025,12,21407041,204,2,0,206,247.33333333333334,Festival
Himachal Pradesh,Chamba,2025,9,38963633,360,23,1,384,384.0,Monsoon
Himachal Pradesh,Chamba,2025,10,30853683,355,13,2,370,377.0,Festival
Himachal Pradesh,Chamba,2025,11,46368953,579,18,3,600,451.3333333333333,Festival
Himachal Pradesh,Chamba,2025,12,24682961,292,10,1,303,424.3333333333333,Festival
Himachal Pradesh,Hamirpur,2025,9,37947692,271,4,0,275,275.0,Monsoon
Himachal Pradesh,Hamirpur,2025,10,36888931,292,5,0,297,286.0,Festival
Himachal Pradesh,Hamirpur,2025,11,48871616,389,5,0,394,322.0,Festival
Himachal Pradesh,Hamirpur,2025,12,28597307,229,2,1,232,307.6666666666667,Festival
Himachal Pradesh,Kangra,2025,9,144331231,1190,35,6,1231,1231.0,Monsoon
Himachal Pradesh,Kangra,2025,10,98864875,901,15,4,920,1075.5,Festival
Himachal Pradesh,Kangra,2025,11,129886634,1165,20,8,1193,1114.6666666666667,Festival
Himachal Pradesh,Kangra,2025,12,68192698,613,5,4,622,911.6666666666666,Festival
Himachal Pradesh,Kinnaur,2025,9,8261177,38,13,0,51,51.0,Monsoon
Himachal Pradesh,Kinnaur,2025,10,4646911,26,0,1,27,39.0,Festival
Himachal Pradesh,Kinnaur,2025,11,7744908,42,4,4,50,42.666666666666664,Festival
Himachal Pradesh,Kinnaur,2025,12,5163275,31,4,0,35,37.333333333333336,Festival
Himachal Pradesh,Kullu,2025,7,175101,57,24,33,114,114.0,Monsoon
Himachal Pradesh,Kullu,2025,9,26833096,178,20,11,209,161.5,Monsoon
Himachal Pradesh,Kullu,2025,10,27195527,215,14,18,247,190.0,Festival
Himachal Pradesh,Kullu,2025,11,40504767,392,39,35,466,307.3333333333333,Festival
Himachal Pradesh,Kullu,2025,12,19708435,180,14,9,203,305.3333333333333,Festival
Himachal Pradesh,Lahaul And Spiti,2025,10,175140,1,0,0,1,1.0,Festival
Himachal Pradesh,Lahaul And Spiti,2025,12,347256,2,0,0,2,1.5,Festival
Himachal Pradesh,Lahul & Spiti,2025,9,2080478,13,0,0,13,13.0,Monsoon
Himachal Pradesh,Lahul & Spiti,2025,10,1216886,6,1,0,7,10.0,Festival
Himachal Pradesh,Lahul & Spiti,2025,11,1736261,15,0,0,15,11.666666666666666,Festival
Himachal Pradesh,Lahul & Spiti,2025,12,519357,2,1,0,3,8.333333333333334,Festival
Himachal Pradesh,Lahul And Spiti,2025,9,1733224,10,1,0,11,11.0,Monsoon
Himachal Pradesh,Lahul And Spiti,2025,10,1044773,6,0,0,6,8.5,Festival
Himachal Pradesh,Lahul And Spiti,2025,11,1745330,10,0,0,10,9.0,Festival
Himachal Pradesh,Lahul And Spiti,2025,12,866612,5,0,0,5,7.0,Festival
Himachal Pradesh,Mandi,2025,9,81037446,669,17,3,689,689.0,Monsoon
Himachal Pradesh,Mandi,2025,10,57923184,563,12,3,578,633.5,Festival
Himachal Pradesh,Mandi,2025,11,78035972,745,10,5,760,675.6666666666666,Festival
Himachal Pradesh,Mandi,2025,12,46733759,483,4,0,487,608.3333333333334,Festival
Himachal Pradesh,Shimla,2025,9,50877114,374,69,1,444,444.0,Monsoon
Himachal Pradesh,Shimla,2025,10,46782474,375,35,10,420,432.0,Festival
Himachal Pradesh,Shimla,2025,11,56193018,495,36,7,538,467.3333333333333,Festival
Himachal Pradesh,Shimla,2025,12,33061765,244,21,3,268,408.6666666666667,Festival
Himachal Pradesh,Sirmaur,2025,9,34933621,480,30,2,512,512.0,Monsoon
Himachal Pradesh,Sirmaur,2025,10,20417335,289,13,2,304,408.0,Festival
Himachal Pradesh,Sirmaur,2025,11,32692845,498,11,2,511,442.3333333333333,Festival
Himachal Pradesh,Sirmaur,2025,12,17295305,243,13,1,257,357.3333333333333,Festival
Himachal Pradesh,Solan,2025,9,35169634,303,29,0,332,332.0,Monsoon
Himachal Pradesh,Solan,2025,10,24073397,246,16,2,264,298.0,Festival
Himachal Pradesh,Solan,2025,11,34312187,372,12,1,385,327.0,Festival
Himachal Pradesh,Solan,2025,12,18529712,184,8,3,195,281.3333333333333,Festival
Himachal Pradesh,Una,2025,9,45187482,336,9,0,345,345.0,Monsoon
Himachal Pradesh,Una,2025,10,35893953,327,4,0,331,338.0,Festival
Himachal Pradesh,Una,2025,11,37996138,345,4,0,349,341.6666666666667,Festival
Himachal Pradesh,Una,2025,12,25144833,218,4,0,222,300.6666666666667,Festival
Jammu & Kashmir,Anantnag,2025,9,384335,1,1,0,2,2.0,Monsoon
Jammu & Kashmir,Anantnag,2025,12,384602,2,0,0,2,2.0,Festival
Jammu & Kashmir,Badgam,2025,11,386822,0,2,0,2,2.0,Festival
Jammu & Kashmir,Bandipur,2025,10,193502,1,0,0,1,1.0,Festival
Jammu & Kashmir,Bandipur,2025,12,193501,1,0,0,1,1.0,Festival
Jammu & Kashmir,Baramula,2025,9,2317435,16,1,0,17,17.0,Monsoon
Jammu & Kashmir,Baramula,2025,10,1544808,9,0,0,9,13.0,Festival
Jammu & Kashmir,Baramula,2025,11,1544808,9,2,0,11,12.333333333333334,Festival
Jammu & Kashmir,Baramula,2025,12,1545351,9,1,0,10,10.0,Festival
Jammu & Kashmir,Doda,2025,11,364405,2,0,0,2,2.0,Festival
Jammu & Kashmir,Jammu,2025,9,3247077,15,4,0,19,19.0,Monsoon
Jammu & Kashmir,Jammu,2025,10,3070561,16,1,0,17,18.0,Festival
Jammu & Kashmir,Jammu,2025,11,3432876,16,4,0,20,18.666666666666668,Festival
Jammu & Kashmir,Jammu,2025,12,1088876,5,1,0,6,14.333333333333334,Festival
Jammu & Kashmir,Kargil,2025,9,194103,1,0,0,1,1.0,Monsoon
Jammu & Kashmir,Kargil,2025,10,194103,1,0,0,1,1.0,Festival
Jammu & Kashmir,Kargil,2025,11,388206,0,2,0,2,1.3333333333333333,Festival
Jammu & Kashmir,Kathua,2025,9,368305,2,0,0,2,2.0,Monsoon
Jammu & Kashmir,Kathua,2025,11,184144,1,0,0,1,1.5,Festival
Jammu & Kashmir,Kathua,2025,12,920635,5,0,0,5,2.6666666666666665,Festival
Jammu & Kashmir,Kupwara,2025,9,193224,1,1,0,2,2.0,Monsoon
Jammu & Kashmir,Kupwara,2025,10,579667,3,0,0,3,2.5,Festival
Jammu & Kashmir,Kupwara,2025,11,386444,4,0,0,4,3.0,Festival
Jammu & Kashmir,Leh (Ladakh),2025,10,194201,1,0,0,1,1.0,Festival
Jammu & Kashmir,Leh (Ladakh),2025,12,388202,2,0,0,2,1.5,Festival
Jammu & Kashmir,Pulwama,2025,10,192301,1,0,0,1,1.0,Festival
Jammu & Kashmir,Pulwama,2025,11,192301,1,0,0,1,1.0,Festival
Jammu & Kashmir,Pulwama,2025,12,384607,2,0,0,2,1.3333333333333333,Festival
Jammu & Kashmir,Punch,2025,12,185102,1,0,0,1,1.0,Festival
Jammu & Kashmir,Rajauri,2025,11,185132,0,1,0,1,1.0,Festival
Jammu & Kashmir,Rajauri,2025,12,185132,1,0,0,1,1.0,Festival
Jammu & Kashmir,Srinagar,2025,9,191202,0,1,0,1,1.0,Monsoon
Jammu & Kashmir,Srinagar,2025,11,191131,1,0,0,1,1.0,Festival
Jammu & Kashmir,Srinagar,2025,12,191102,1,0,0,1,1.0,Festival
Jammu & Kashmir,Udhampur,2025,9,184205,1,0,0,1,1.0,Monsoon
Jammu & Kashmir,Udhampur,2025,12,182121,1,0,0,1,1.0,Festival
Jammu And Kashmir,Doda,2025,7,182203,261,260,17,538,270.0,Monsoon
Jammu And Kashmir,Shopian,2025,7,192303,308,84,20,412,412.0,Monsoon
Jammu and Kashmir,Anantnag,2025,9,47853952,860,103,1,964,322.6666666666667,Monsoon
Jammu and Kashmir,Anantnag,2025,10,32287304,646,83,3,732,566.0,Festival
Jammu and Kashmir,Anantnag,2025,11,40551171,836,102,25,963,886.3333333333334,Festival
Jammu and Kashmir,Anantnag,2025,12,26329893,633,52,6,691,795.3333333333334,Festival
Jammu and Kashmir,Badgam,2025,9,24169407,473,85,0,558,280.0,Monsoon
Jammu and Kashmir,Badgam,2025,10,15153245,319,42,0,361,307.0,Festival
Jammu and Kashmir,Badgam,2025,11,18991763,425,41,0,466,461.6666666666667,Festival
Jammu and Kashmir,Badgam,2025,12,12467750,457,22,1,480,435.6666666666667,Festival
Jammu and Kashmir,Bandipore,2025,9,17219420,366,101,2,469,469.0,Monsoon
Jammu and Kashmir,Bandipore,2025,10,11994859,317,81,8,406,437.5,Festival
Jammu and Kashmir,Bandipore,2025,11,13737525,329,75,31,435,436.6666666666667,Festival
Jammu and Kashmir,Bandipore,2025,12,7932833,276,51,2,329,390.0,Festival
Jammu and Kashmir,Baramula,2025,5,193201,136,39,12,187,69.33333333333333,Non-peak
Jammu and Kashmir,Baramula,2025,9,49658549,768,162,3,933,376.6666666666667,Monsoon
Jammu and Kashmir,Baramula,2025,10,28982942,480,103,6,589,569.6666666666666,Festival
Jammu and Kashmir,Baramula,2025,11,40577695,750,147,42,939,820.3333333333334,Festival
Jammu and Kashmir,Baramula,2025,12,27245796,1021,77,1,1099,875.6666666666666,Festival
Jammu and Kashmir,Budgam,2025,9,18042150,218,16,0,234,234.0,Monsoon
Jammu and Kashmir,Budgam,2025,10,12860695,174,10,3,187,210.5,Festival
Jammu and Kashmir,Budgam,2025,11,16502773,211,17,9,237,219.33333333333334,Festival
Jammu and Kashmir,Budgam,2025,12,10918686,190,8,3,201,208.33333333333334,Festival
Jammu and Kashmir,Doda,2025,9,29695777,270,145,0,415,318.3333333333333,Monsoon
Jammu and Kashmir,Doda,2025,10,29148967,1178,261,0,1439,797.3333333333334,Festival
Jammu and Kashmir,Doda,2025,11,33703841,858,272,10,1140,998.0,Festival
Jammu and Kashmir,Doda,2025,12,19128620,880,85,5,970,1183.0,Festival
Jammu and Kashmir,Ganderbal,2025,9,16832949,246,27,0,273,273.0,Monsoon
Jammu and Kashmir,Ganderbal,2025,10,9180058,140,10,1,151,212.0,Festival
Jammu and Kashmir,Ganderbal,2025,11,11863418,216,17,8,241,221.66666666666666,Festival
Jammu and Kashmir,Ganderbal,2025,12,7464061,171,5,2,178,190.0,Festival
Jammu and Kashmir,Jammu,2025,5,181221,55,16,10,81,35.666666666666664,Non-peak
Jammu and Kashmir,Jammu,2025,9,110962434,1158,309,10,1477,521.3333333333334,Monsoon
Jammu and Kashmir,Jammu,2025,10,66623805,795,184,8,987,848.3333333333334,Festival
Jammu and Kashmir,Jammu,2025,11,83453452,868,208,5,1081,1181.6666666666667,Festival
Jammu and Kashmir,Jammu,2025,12,56692597,821,108,3,932,1000.0,Festival
Jammu and Kashmir,Kargil,2025,9,13593834,101,40,0,141,48.0,Monsoon
Jammu and Kashmir,Kargil,2025,10,10874800,57,41,1,99,80.66666666666667,Festival
Jammu and Kashmir,Kargil,2025,11,13981149,100,35,0,135,125.0,Festival
Jammu and Kashmir,Kargil,2025,12,9708990,128,23,0,151,128.33333333333334,Festival
Jammu and Kashmir,Kathua,2025,9,45486299,473,91,0,564,190.0,Monsoon
Jammu and Kashmir,Kathua,2025,10,32412264,394,67,4,465,344.6666666666667,Festival
Jammu and Kashmir,Kathua,2025,11,44380926,922,97,4,1023,684.0,Festival
Jammu and Kashmir,Kathua,2025,12,27440091,846,55,1,902,796.6666666666666,Festival
Jammu and Kashmir,Kishtwar,2025,9,10750047,181,45,1,227,227.0,Monsoon
Jammu and Kashmir,Kishtwar,2025,10,8199179,227,59,0,286,256.5,Festival
Jammu and Kashmir,Kishtwar,2025,11,10203424,337,68,4,409,307.3333333333333,Festival
Jammu and Kashmir,Kishtwar,2025,12,5466122,313,33,1,347,347.3333333333333,Festival
Jammu and Kashmir,Kulgam,2025,9,9418966,245,62,0,307,307.0,Monsoon
Jammu and Kashmir,Kulgam,2025,10,6343490,206,57,0,263,285.0,Festival
Jammu and Kashmir,Kulgam,2025,11,9034167,283,76,9,368,312.6666666666667,Festival
Jammu and Kashmir,Kulgam,2025,12,5190188,236,37,0,273,301.3333333333333,Festival
Jammu and Kashmir,Kupwara,2025,9,28212934,671,160,0,831,279.3333333333333,Monsoon
Jammu and Kashmir,Kupwara,2025,10,18551233,573,112,5,690,508.3333333333333,Festival
Jammu and Kashmir,Kupwara,2025,11,22995444,676,113,35,824,781.6666666666666,Festival
